#theta(deg)    DCS_SF(bohr^2/sr)
  135.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  136.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  137.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  138.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  139.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  140.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  141.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  142.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  143.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  144.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  145.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  146.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  147.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  148.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  149.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  150.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  151.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  152.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  153.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  154.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  155.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  156.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
  157.000000000  0.001409350 0.001690773 0.002684133 0.003656214 0.003688593 0.003237525 0.003516659 0.003804188 0.003807585 0.004228842 0.004388143 0.004750822 0.005047592 0.005377252 0.005738271 0.006065553 0.006441969 0.006770159 0.007122910 0.007442096 0.007735595 0.008032840 0.008237760 0.008498986 0.008601736 0.008806994 0.008821132 0.008938718 0.008908897 0.008899536 0.008885292 0.008727303 0.008762947 0.008505169 0.008554985 0.007697700 0.007744869 0.007489108 0.007199623 0.007063926 0.006737959 0.006444643 0.006405318 0.005916024 0.005802983 0.005668778 0.005292922 0.005105656 0.005017202 0.004749284 0.004504429 0.004396760 0.004228256 0.004035367 0.003869552 0.003720666 0.003594692 0.003449820 0.003303189 0.003184582 0.003059437 0.002943077 0.002841089 0.002728251 0.002625677 0.002531501 0.002434510 0.002353613 0.002274527 0.002189374 0.002116632 0.002045872 0.001976964 0.001921230 0.001863149 0.001804738 0.001756790 0.001707707 0.001662508 0.001627821 0.001590351 0.001555123 0.001528600 0.001500862 0.001478641 0.001466481 0.001452941 0.001443423 0.001442098 0.001438809 0.001440085 0.001450862 0.001460888 0.001475688 0.001499852 0.001522616 0.001549499 0.001586425 0.001622561 0.001662983
